Clanmate;Points;Fragments
Total;7090725;1648
Seven87;277860;65
Arch;215600;50
Safa2017;159335;37
TurinTurambar;153670;36
KaLisi;143235;33
Rain Fire;143090;33
Finimini1;132880;31
Akhman;125550;29
StellaVist;123970;29
Chiarka;121076;28
Shadowbringer SK;115830;27
little deldi;115500;27
Sailv;114825;27
Eloise;112650;26
Vudogore;106590;25
Malik2203;100980;23
Coris;100024;23
Mel;98000;23
Artsakh;98000;23
Kekelv;97745;23
Maffy;96875;23
ozin blesin;95175;22
Mekil;95100;22
MBY;95000;22
seven87;94270;22
Fankayel;93594;22
Donkey Muffins;93390;22
Godfather;92400;22
Tracker;91621;21
Illor;89000;21
Keleth;88140;21
Ironwind;87470;20
Shak2;84810;20
Eloise 2;83450;19
Cassio;83125;19
Mofym;82170;19
nicklaus;81215;19
kremlin;81014;19
Pantera;78750;18
MAFALDA;77650;18
Rambam;75790;18
Dontrius;75167;17
Giulio Cesare;74700;17
MarkoBRFla;74195;17
xoana;73135;17
Meninad;72000;17
Defur;66750;16
Machado;66275;15
Baco;64875;15
martinman;64300;15
Mikashura;63946;15
Sengul;63568;15
Veverka;62425;15
Ladislaus;62412;15
Csaba;62250;14
Sharpstone;62025;14
Funien;61875;14
Presidio de Bangu;60600;14
WADA;59125;14
Goku;57825;13
Rainterror;56269;13
wodessen;55771;13
Heof;53069;12
ZAR;51758;12
Eydaen;51579;12
Deli;51006;12
Earfiren;50650;12
Mel SK;50448;12
Chiarka SK;49125;11
Max Mayhem;48900;11
Mohamed;47561;11
Harald B;47446;11
WaDa;46954;11
ImHeartBeat;43890;10
WadA;43542;10
Seraning;41767;10
Rattus;39375;9
Wada;39227;9
Lightscar;38375;9
Bebur;37500;9
Athena;37000;9
Frostworker;36011;8
Magnuss;35252;8
Rza;34050;8
Raven;34000;8
Gleladod;33500;8
Graveleye;31075;7
Ballage;30825;7
Sir bomber;30800;7
Cordanaya;30550;7
arcael;28693;7
Andromeda;21640;5
Luchdaing;19250;4
