Clanmate;Points;Fragments
Total;5495622;823
Arch;215600;32
Seven87;193710;29
Safa2017;144210;22
Sailv;142500;21
StellaVlst;137276;21
Eloise;119700;18
Vudogore;110625;17
Soft Grace;104775;16
Kulfon;102500;15
Chiarka;102314;15
Tracker;98000;15
ozin blesin;95000;14
Akhman;93875;14
KaLisi;93652;14
Rain Fire;93125;14
Mel;91375;14
Maffy;90500;14
TurinTurambar;87890;13
Pantera;83875;13
Ironwind;81688;12
Max Mayhem;79350;12
Coris;79207;12
Keleth;74111;11
Defur;73950;11
Donkey Muffins;69025;10
Mekil;65300;10
Ladislaus;64924;10
MBY;64000;10
Godfather;63525;10
Kekelv;61135;9
ZAR;61060;9
Shak2;58630;9
Cassio;58625;9
Dontrius;58059;9
Rainterror;57909;9
Mofym;57585;9
Rambam;56650;9
nicklaus;56298;8
Alessa;52140;8
Grikelv;52137;8
Mikashura;51948;8
silver bank haha;51759;8
Goku;49775;7
Mel SK;49705;7
Deli;49250;7
corpas;49115;7
Fankayel;48723;7
Harald B;48575;7
Sengul;48121;7
seven87;48070;7
Shadowbringer SK;47850;7
xoana;46625;7
martinman;46306;7
Meninad;44596;7
Corpas1;43200;6
ZumiroNoia;42375;6
Orkanio;42197;6
Sharpstone;41256;6
WADA;40920;6
Presidio de Bangu;40400;6
Heof;39004;6
MarkoBRFla;38775;6
Eydaen;38638;6
wodessen;38625;6
Raven;37325;6
Magnuss;36350;5
Frostworker;36117;5
Finimini;36080;5
Earfiren;35325;5
kremlin;34806;5
arcael;34324;5
Andromeda;34050;5
WaDa;33417;5
Seraning;32860;5
Rza;32144;5
Giulio Cesare;31800;5
Cordanaya;30200;5
Graveleye;30100;5
Baco;29875;4
Veverka;29150;4
RATTUS;28375;4
Karen;28350;4
Mohamed;28319;4
Luchdaing;28225;4
Bebur;28125;4
alking1;26700;4
Lightscar;26250;4
Paulitouno;24376;4
Gleladod;24075;4
WadA;23403;4
Legolas;21000;3
Ceciel;17900;3
Athena;15000;2
Malik2203;9983;1
Chiarka SK;0;0
Eloise 2;0;0
Wada;0;0
Bank2;0;0
The1;0;0
