Clanmate;Points;Fragments
Total;68291186;945
Arch;2002000;28
Seven87;1701700;24
seven87;1540000;21
Sailv;1540000;21
Safa2017;1540000;21
Finimini1;1342000;19
Ironwind;1243000;17
kremlin;1183000;16
Artsakh;1183000;16
Akhman;1183000;16
Kekelv;1183000;16
Tracker;1183000;16
Dontrius;1183000;16
Rain Fire;1183000;16
Coris;1183000;16
nicklaus;1183000;16
Veverka;1177000;16
ZAR;1106950;15
Shadowbringer SK;1089000;15
Shak2;1078000;15
StellaVist;1056000;15
TurinTurambar;1045000;15
KaLisi;1029600;14
Rainterror;1005550;14
little deldi;1001000;14
Eloise;980200;14
Meninad;954850;13
Mel SK;929500;13
Mekil;910000;13
Max Mayhem;910000;13
Mel;910000;13
Maffy;910000;13
Defur;910000;13
Deli;910000;13
WADA;880000;12
Ladislaus;878800;12
Mafalda;871000;12
Graveleye;871000;12
Pantera;861900;12
Bebur;832000;12
Fankayel;828100;12
WaDa;828100;12
Vudogore;825000;11
Illor;777400;11
xoana;773500;11
Malik2203;743600;10
Ballage;715000;10
Keleth;704000;10
Mofym;686400;10
Goku;676000;9
Harald Bluetooth;642200;9
Eloise 2;617500;9
WadA;608400;8
Soft Grace;605000;8
silverbank ;599950;8
wodessen;598000;8
Alessa;572000;8
Eydaen;540800;8
Frostworker;540800;8
arcael;540800;8
MBY;532350;7
Godfather;506000;7
Sharpstone;473200;7
martinman;468000;7
Raven;455000;6
Gleladod;455000;6
RATTUS;455000;6
Baco;455000;6
Wada;455000;6
Earfiren;442000;6
MarkoBRFla;440000;6
ozin blesin;439400;6
Rza;439400;6
Chiarka SK;437783;6
LightScar;416000;6
Seraning;390000;5
Mohamed;371800;5
Presidio de Bangu;363350;5
Magnuss;338000;5
Athena;312000;4
Donkey Muffins;308000;4
Giulio Cesare;304200;4
Heof;297903;4
Sengul;264000;4
Funien;220000;3
Mikashura;135200;2
Rambam;32000;0
Sir bomber;0;0
Kulfon;0;0
Andromeda;0;0
Cassio;0;0
Chiarka;0;0
Cordanaya;0;0
Grikelv;0;0
corpas;0;0
Luchdaing;0;0
Serien;0;0
Corpas1;0;0
Bank2;0;0
