Clanmate;Points;Fragments
Total;66650743;1902
Arch;2002000;57
Seven87;2002000;57
Sailv;1540000;44
Mariusz87;1494100;43
TurinTurambar;1487200;42
Finimini1;1474000;42
se7en87;1375000;39
Shak2;1210000;34
StellaVist;1210000;34
Mel;1183000;34
Fankayel;1183000;34
Rain Fire;1183000;34
Meninad;1183000;34
Artsakh;1183000;34
Dontrius;1183000;34
Illor;1183000;34
Safa2017;1172600;33
Vudogore;1144000;33
Maffy;1132300;32
Coris;1078000;31
kremlin;1056250;30
nicklaus;1030900;29
little deldi;1001000;29
Ladislaus;946000;27
Rainterror;929500;26
KaLisi;915200;26
Bebur;910000;26
Luchdaing;910000;26
Csaba;904150;26
Mafalda;871000;25
Kekelv;858000;24
Carnage 1;858000;24
WADA;836000;24
Ironwind;803000;23
WaDa;802750;23
Sengul;792000;23
Godfather;770000;22
Tracker;770000;22
Eydaen;760500;22
Deli;752050;21
Veverka;748000;21
Keleth;704000;20
Machado;704000;20
Pantera;704000;20
Malik2203;686400;20
MBY;676000;19
NIKOLA;657800;19
Mekil;642200;18
Sharpstone;633750;18
Defur;591500;17
Galatasaray1905;591500;17
WadA;574600;16
Rambam;572000;16
Sir bomber;572000;16
Goku;540800;15
RATTUS;540800;15
Wada;540800;15
Cassio;507000;14
Chiarka;484000;14
MarkoBRFla;484000;14
Eloise 2;464750;13
Chiarka SK;455000;13
Raven;455000;13
Cordanaya;455000;13
Giulio Cesare;440000;13
Akhman;440000;13
Magnuss;439400;13
Gleladod;422500;12
Earfiren;415543;12
Athena;413850;12
Graveleye;405600;12
Mofym;400400;11
Imheartbeat;396000;11
martinman;390000;11
ZAR;388700;11
Max Mayhem;363350;10
Ballage;338000;10
Heof;338000;10
Eloise;308000;9
Frostworker;304200;9
Mohamed;304200;9
Wodessen;304200;9
arcael;304200;9
Baco;270400;8
ozin blesin;270400;8
xoana;270400;8
Mezar;264000;8
Donkey Muffins;220000;6
Mikashura;176000;5
Andromeda;0;0
Paulitouno;0;0
Rza;0;0
Lightscar;0;0
Harald B;0;0
Presidio de Bangu;0;0
ShadowBringer SK;0;0
the la JZ;0;0
Bank2;0;0
Chest Counter;0;0
